"Question","Answer"
"What is a Moving Average (MA)?","A technical indicator that connects the arithmetic mean of market prices (usually closing prices) over consecutive days to predict short/medium/long-term price trends."
"What theory is the Moving Average based on?","Dow Jones Theory, digitized to quantify price trend predictions."
"What are the four key characteristics of Moving Averages?","1. Trendliness 2. Hysteresis & Stability 3. Helping Up/Down Effect 4. Market Average Cost-Effectiveness."
"How does MA reflect market trends?","It represents price fluctuation trends and maintains direction unless a strong reversal occurs."
"Why does MA lag behind price movements?","Due to its calculation method (averaging past data), causing delayed reactions to trend reversals."
"What is the 'Helping Up/Down' effect?","When price breaks MA, it tends to continue in that direction due to MA's support/resistance role."
"How does MA represent market costs?","MA on day X shows the average market cost over X days. Rising MA = increasing buyer costs; Falling MA = decreasing seller prices."
"What are the three types of Moving Averages?","Short-term (5/10-day), Medium-term (20/30/60-day), Long-term (120/250-day)."
"Why is MA5 significant in stock markets?","Represents weekly trend (5 trading days), acting as strong support/resistance. Key for short-term trading."
"What does MA10 indicate?","Reflects short-term average cost trends. Bullish stocks rarely close below MA10; bearish stocks struggle to rise above it."
"What do 20-day and 60-day MAs represent?","20-day = monthly trend; 60-day (seasonal line) = smoother medium-term trend with clear tracking trajectory."
"Why are 120-day and 250-day MAs important?","120-day = semi-annual trend (aligns with financial reporting); 250-day = annual trend for long-term investors."
"What is a 'Golden Cross'?","When short-term MA crosses above medium/long-term MA, signaling potential bullish continuation."
"What is a 'Death Cross'?","When short-term MA crosses below medium/long-term MA, signaling potential bearish continuation."
"What are three common MA buy signals?","1. MA flattens after decline + price breaks above 2. Price rebounds sharply after false breakdown 3. Extreme price drop below MA (risky short-term play)."
"What are three common MA sell signals?","1. MA flattens after rise + price breaks below 2. Failed rally above declining MA 3. Price surges far above rising MA (overbought)."
"Why is MA5 a strong resistance in bear markets?","Represents recent seller dominance - prices often reject at this level during weak rebounds."
"How does MA help identify bull/bear markets?","Bull: Price > Short-term MA > Medium-term MA > Long-term MA. Bear: Reverse order with price at bottom."
"What's the risk of trading MA rebound signals?","False breakouts common - requires confirmation (e.g., volume) as overall downtrend may persist."
"Why use multiple MAs simultaneously?","To identify trend alignment (e.g., all MAs ascending = strong uptrend) and potential reversal points."
