Question,Answers
What is the Relative Strength Index (RSI)?,"A momentum oscillator measuring velocity/magnitude of price movements on a 0-100 scale, indicating overbought/oversold conditions."
Who developed RSI and when?,J. Welles Wilder introduced it in 1978 in his book 'New Concepts in Technical Trading Systems'.
What is the standard RSI timeframe?,"14 periods (days/hours/etc.), though traders may adjust for shorter/longer outlooks."
How is RSI calculated?,"RSI = 100 - [100/(1 + RS)], where RS = Avg(U)/Avg(D). U=upward closes, D=downward closes over n periods."
What are typical overbought/oversold levels?,70 (overbought) and 30 (oversold). Stronger trends may use 80/20 or 90/10 thresholds.
What does RSI=50 indicate?,Neutral momentum - equal average gains/losses over the period.
How does Wilder's smoothing differ from EMA?,Uses SMMA: newval = (prevval*(n-1) + newdata)/n. Some platforms use standard EMA instead.
What are bullish/bearish divergences?,"Bullish: Price makes new low, RSI makes higher low. Bearish: Price makes new high, RSI makes lower high."
What are 'failure swings' in RSI?,Reversal signals when RSI fails to exceed prior peak (above 70) or trough (below 30).
How did Andrew Cardwell expand RSI interpretation?,"Noted trends trade in ranges (40-80 uptrends, 20-60 downtrends) and introduced reversal concepts."
What are positive/negative reversals?,Positive: Higher price low + lower RSI low confirms uptrend. Negative: Lower price high + higher RSI high confirms downtrend.
What is Cutler's RSI variation?,Uses simple moving averages (SMA) instead of Wilder's SMMA to eliminate data length dependency.
How is RSI used in trading?,1) Overbought/oversold signals 2) Divergences 3) Centerline (50) crossovers 4) Trend confirmation.
What are hidden divergences?,Hidden bullish: Lower price high + higher RSI high. Hidden bearish: Higher price low + lower RSI low.
Why is RSI considered a leading indicator?,"Momentum often changes before price, making RSI useful for anticipating reversals."
How does RSI behave in strong trends?,Can remain overbought/oversold for extended periods - Cardwell's range shift concept applies.
What's the difference between RSI and relative strength?,RSI measures internal momentum; relative strength compares asset performance to benchmark/index.
How to initialize RSI calculations?,First n-period values use simple moving average before switching to SMMA/EMA smoothing.
What are limitations of RSI?,1) Whipsaws in ranging markets 2) Lagging in strong trends 3) Requires confirmation with other indicators.
How do traders adjust RSI parameters?,"Shorter periods (e.g., 7) increase sensitivity; longer periods (e.g., 21) reduce false signals."
What's the mathematical basis of RSI?,Ratio of exponentially weighted positive price changes to total absolute price changes over n periods.
How does volume affect RSI interpretation?,RSI doesn't incorporate volume - traders often combine with volume indicators for confirmation.
What are common RSI trading strategies?,1) Overbought sell/oversold buy 2) Divergence trades 3) 50-level trend confirmation 4) Failure swings.
How does RSI complement other indicators?,"Often paired with MACD, moving averages, or Bollinger Bands for confluence."
What are optimal market conditions for RSI?,Works best in ranging markets; less reliable in strong trending markets without adjustments.
