Question,Answers
What is a 'Golden Cross'?,"When short-term MA crosses above medium/long-term MA, signaling potential bullish continuation."
What does a positive MACD histogram indicate?,Bullish momentum (MACD Line above Signal Line).
What are limitations of RSI?,1) Whipsaws in ranging markets 2) Lagging in strong trends 3) Requires confirmation with other indicators.
What's the key limitation of cumulative returns?,Doesn't reveal volatility or sequence of returns - identical cumulative returns can have very different risk profiles.
Are Bollinger Bands used alone for trading signals?,"No, they should be used in conjunction with other indicators to confirm signals, as they are not meant to be a standalone tool.  "
Can a candlestick lack a body or wick?,Yes. A missing body means open = close; missing wicks mean high/low = open/close.  
Who developed candlestick charts?,"They were thought to be developed in the 18th century by Munehisa Homma, a Japanese rice trader, but evidence suggests they likely emerged in the late 1800s during Japan’s Meiji period.  "
What are typical short-term Bollinger Band settings?,A 10-day moving average with bands set at 1.5 standard deviations.  
How does diversification relate to correlation trading?,Diversification reduces portfolio volatility when correlations between stocks are low. This statistical principle (not Modern Portfolio Theory) underpins correlation trading strategies.  
How does momentum differ from swing trading?,"Momentum trading focuses strictly on continuing existing trends, typically with shorter holding periods."
What is the relationship between Bollinger Bands and volatility?,"When volatility increases, the bands widen; when volatility decreases, the bands contract.  "
Who developed Bollinger Bands?,"They were developed by John Bollinger, a well-known technical analyst.  "
What is a 'Death Cross'?,"When short-term MA crosses below medium/long-term MA, signaling potential bearish continuation."
What is a Moving Average (MA)?,A technical indicator that connects the arithmetic mean of market prices (usually closing prices) over consecutive days to predict short/medium/long-term price trends.
What is a bullish MACD crossover?,"When the MACD Line crosses above the Signal Line, suggesting a potential uptrend."
Why might two investments with same cumulative return differ in attractiveness?,"Risk levels, tax implications, or liquidity differences may make one preferable despite equal returns."
Why do people invest if there's a chance of no returns?,"Investments are made with the expectation of positive returns. While risk exists, potential rewards motivate investors to take calculated risks."
Why is timing critical in momentum trading?,Trends can reverse abruptly; traders must enter early in the trend and exit at the first signs of weakening.
What are hidden divergences?,Hidden bullish: Lower price high + higher RSI high. Hidden bearish: Higher price low + lower RSI low.
What's an example of momentum trading?,"Buying a stock after it breaks resistance with high volume, expecting the uptrend to continue."
Should Bollinger Bands be the sole basis for investment decisions?,"No, investors should consider their financial goals, risk tolerance, and other analysis methods before making decisions.  "
What is the key to successful correlation trading?,The ability to predict whether future realized correlation among stocks in an index will be higher or lower than the implied correlation priced in by the market.  
Why use cumulative return instead of simple averages?,It reflects actual investor experience by accounting for compounding and volatility sequences.
What is the typical color coding for MACD components?,"MACD Line (blue), Signal Line (red), Histogram (green/red bars)."
What are the three key components of the MACD indicator?,1. MACD Line (12-day EMA - 26-day EMA) 2. Signal Line (9-day EMA of MACD Line) 3. Histogram (MACD Line - Signal Line).
Why are EMAs preferred over SMAs in MACD?,"EMAs give more weight to recent price data, making them more responsive to current trends."
Why are 120-day and 250-day MAs important?,120-day = semi-annual trend (aligns with financial reporting); 250-day = annual trend for long-term investors.
How does MA help identify bull/bear markets?,Bull: Price > Short-term MA > Medium-term MA > Long-term MA. Bear: Reverse order with price at bottom.
What instruments are commonly used in correlation trading?,"Exchange-traded funds (ETFs) are often used as proxies for indices, alongside options on indices and single stocks.  "
Why is cumulative total return important?,"It includes reinvestments, showing true investment performance beyond just price appreciation."
What happens to portfolio volatility when correlations decrease?,Portfolio volatility decreases because the variances of uncorrelated or negatively correlated assets offset each other when combined.  
Can candlesticks be volume-based?,"Yes. Some charts use open/high/low/close values for a set volume range (e.g., per 100,000 shares).  "
Why use multiple MAs simultaneously?,"To identify trend alignment (e.g., all MAs ascending = strong uptrend) and potential reversal points."
