Question,Answers
What is momentum trading?,An investment strategy that capitalizes on the continuation of existing market trends by buying assets moving strongly upward and selling/shorting those moving downward.
What is the core principle of momentum trading?,"Prices tend to persist in their current direction (up or down) in the short-term, allowing traders to ride the trend."
What are the two primary approaches to momentum trading?,1. Buying assets with strong upward momentum 2. Short-selling assets with strong downward momentum.
How do momentum traders select assets?,"They avoid sideways-moving assets and focus on those with clear, strong directional trends confirmed by volume."
What are the 5 key elements of successful momentum investing?,1. Trend identification 2. Entry/exit timing 3. Risk management 4. Position sizing 5. Performance review.
What are common momentum trading strategies?,"Breakout trading, trend-following, moving average crossovers, and relative strength analysis."
How is momentum calculated?,"Momentum = (Current Price / Price X months ago). Typical periods: 6 or 12 months (e.g., 1.25 = 25% increase over 12 months)."
What tools help identify momentum?,"Technical indicators like RSI, MACD, moving averages, and volume analysis."
What is a high-momentum stock?,"A stock exhibiting strong, sustained price movement in one direction over a short period (weeks/months)."
Why is timing critical in momentum trading?,Trends can reverse abruptly; traders must enter early in the trend and exit at the first signs of weakening.
What are the risks of momentum trading?,1. Sudden trend reversals 2. Overvaluation 3. Whipsaws in choppy markets 4. Requires precise timing.
What markets suit momentum trading?,"Stocks, forex, commodities - any liquid market with strong trending behavior."
How does momentum differ from swing trading?,"Momentum trading focuses strictly on continuing existing trends, typically with shorter holding periods."
What's an example of momentum trading?,"Buying a stock after it breaks resistance with high volume, expecting the uptrend to continue."
Why use moving averages in momentum trading?,"Crossovers (e.g., 50-day MA above 200-day MA) help confirm trend direction and strength."
What is relative strength in momentum trading?,Comparing an asset's performance to peers/index to identify outperforming assets with strong momentum.
How to manage risk in momentum trading?,"Use stop-loss orders, position sizing, and avoid overleveraging to limit downside during reversals."
What are false breakouts?,"When price appears to start a new trend but quickly reverses, trapping momentum traders."
Why combine momentum with other indicators?,"Confirms signals (e.g., RSI for overbought/oversold conditions) to reduce false signals."
Is momentum trading suitable for beginners?,High-risk and fast-paced; requires experience in technical analysis and discipline to follow strict rules.
What psychological traits help momentum traders?,Discipline to cut losses quickly and patience to wait for high-probability setups.
