"Question","Answer"
"What is the MACD indicator?","The MACD (Moving Average Convergence Divergence) is a momentum indicator that shows the relationship between two moving averages of a security's price, used to track trend momentum."
"Who created the MACD indicator?","Gerald Appel created the MACD indicator in the late 1970s."
"What is the primary purpose of the MACD?","To identify momentum and directional strength by calculating the difference between two exponential moving averages (EMAs)."
"What are the two main EMAs used in MACD calculation?","A 12-day EMA (short-term) and a 26-day EMA (long-term)."
"How is the MACD line calculated?","MACD Line = 12-day EMA - 26-day EMA."
"What is the Signal Line in MACD?","A 9-day EMA of the MACD Line, used to identify potential buy/sell signals."
"What does the MACD histogram represent?","The difference between the MACD Line and Signal Line (MACD Line - Signal Line). It oscillates above/below a zero line to show momentum shifts."
"What does a positive MACD histogram indicate?","Bullish momentum (MACD Line above Signal Line)."
"What does a negative MACD histogram indicate?","Bearish momentum (MACD Line below Signal Line)."
"What is a bullish MACD crossover?","When the MACD Line crosses above the Signal Line, suggesting a potential uptrend."
"What is a bearish MACD crossover?","When the MACD Line crosses below the Signal Line, suggesting a potential downtrend."
"How does the zero-line crossover signal work?","A bullish signal occurs when MACD crosses above zero; bearish when it crosses below zero. Distance from zero indicates trend strength."
"Why are EMAs preferred over SMAs in MACD?","EMAs give more weight to recent price data, making them more responsive to current trends."
"What are the three key components of the MACD indicator?","1. MACD Line (12-day EMA - 26-day EMA) 2. Signal Line (9-day EMA of MACD Line) 3. Histogram (MACD Line - Signal Line)."
"Can MACD be used alone for trading decisions?","No, it should be combined with other indicators (e.g., RSI, Stochastic) and trend analysis for confirmation."
"How does MACD help identify trend strength?","The farther the MACD Line is from the zero line, the stronger the trend."
"What is the typical color coding for MACD components?","MACD Line (blue), Signal Line (red), Histogram (green/red bars)."
"What timeframe is best for MACD?","Works across timeframes but most commonly used on daily charts for swing trading."
"How does MACD behave in a trending vs. ranging market?","Effective in trending markets; may give false signals in sideways/ranging markets."
"What is divergence in MACD?","When price and MACD move in opposite directions, signaling potential reversals (bullish/bearish divergence)."
"What are the limitations of MACD?","Lagging (based on EMAs), prone to whipsaws in volatile markets, less effective in ranging conditions."
"How can traders enhance MACD signals?","By aligning crossovers with the overall trend and confirming with volume/other indicators."
